ADDRESS,LON,LAT
"GAMLENER, OH, USA",NA,NA
"ISABELA SEGUNDA, NA, USA",-65,18
"LAUSANNE, NA, USA",NA,NA
"METAMARA, TX, USA",-89,40
"MORREN, NY, USA",NA,NA
"PHORGHHEEPAIE, NY, USA",NA,NA
"PLEASANT COMMUNE, NY, USA",-73,41
"RAJNEESHPURAM, OR, USA",-121,45
"RIO PIEDRAS, NA, USA",-66,18
"RIVERHEAD, LA, USA",NA,NA
"ROGABLURA, LA, USA",NA,NA
"SAINT REGIS INDIA, NY, USA",-74,44
"SHERBURNE, VT, USA",-72,43
"UNKNOWN, IA, USA",-93,41
"VANCOUVER, WA, USA",-122,45
"YOUNSTOWN, AZ, USA",-112,33
"RICKMOND, VA, USA",-77.4360481,37.5407246
"GREENVILLE, SC, USA",-82.3940104,34.8526176
"NEW YORK, NY, USA",-74.0055245,40.7134248
"CHICAGO, IL, USA",-87.6297982,41.8781136
"PHILADELPHIA, PA, USA",-75.1652215,39.9525839
"WASHINGTON, DC, USA",-77.0368707,38.9071923
"MAMARONECK, NY, USA",-73.7326309,40.9487097
"DALLAS, TX, USA",-96.7969879,32.7766642
"PEORIA, IL, USA",-89.5889864,40.6936488
"AUGUSTA, KS, USA",-96.9767023,37.6866844
"CINCINNATI, OH, USA",-84.5120196,39.1031182
"BOSTON, MA, USA",-71.0588801,42.3600825
"PROVO, UT, USA",-111.6585337,40.2338438
"OAKLAND, CA, USA",-122.2711137,37.8043637
"HOLLYWOOD, CA, USA",-118.3286614,34.0928092
"ENGLEWOOD, CA, USA",-123.9389307,40.396528
"BROOKLYN, NY, USA",-73.9441579,40.6781784
"QUEENS, NY, USA",-73.7948516,40.7282239
"COLUMBUS, OH, USA",-82.9987942,39.9611755
"DETROIT, MI, USA",-83.0457538,42.331427
"MOUNT VERNON, NY, USA",-73.8370786,40.9125992
"LONG ISLAND, NY, USA",-73.134961,40.789142
"ROCKLAND COUNTY, NY, USA",-73.9830029,41.1489458
"NEW HAVEN, CT, USA",-72.9278835,41.308274
"FAIRFIELD, CT, USA",-73.2612615,41.1408363
"MADISON, NJ, USA",-74.417097,40.7598227
"ELIZABETH, NJ, USA",-74.2107006,40.6639916
"KANSAS CITY, MO, USA",-94.5785667,39.0997265
"SAN FRANCISCO, CA, USA",-122.4194155,37.7749295
"ATLANTA, GA, USA",-84.3879824,33.7489954
"NORWALK, CT, USA",-73.4081575,41.117744
"FAIR LAWN, NJ, USA",-74.1318096,40.9403762
"PENSACOLA, FL, USA",-87.2169149,30.421309
"HARTFORD, CT, USA",-72.6850932,41.7637111
"GREENSBORO, NC, USA",-79.7919754,36.0726354
"CHAPEL HILL, NC, USA",-79.0558445,35.9131996
"ORLANDO, FL, USA",-81.3792365,28.5383355
"DURHAM, NC, USA",-78.898619,35.9940329
"WINSTON-SALEM, NC, USA",-80.244216,36.0998596
"CHARLOTTE, NC, USA",-80.8431267,35.2270869
"LITTLE ROCK, AR, USA",-92.2895948,34.7464809
"MORGANTOWN, PA, USA",-75.8899408,40.1552847
"ALBANY, NY, USA",-73.7562317,42.6525793
"RALEIGH, NC, USA",-78.6381787,35.7795897
"FAYETTEVILLE, NC, USA",-78.8783585,35.0526641
"HENDERSON, NC, USA",-78.3991638,36.3295905
"MONTGOMERY, AL, USA",-86.2999689,32.3668052
"HAMPTON, VA, USA",-76.3452218,37.0298687
"ELIZABETH CITY, NC, USA",-76.2510461,36.2946008
"HIGH POINT, NC, USA",-80.0053176,35.9556923
"ROCK HILL, SC, USA",-81.0250784,34.9248667
"NASHVILLE, TN, USA",-86.7816016,36.1626638
"PORTSMOUTH, VA, USA",-76.2982742,36.8354258
"RICHMOND, VA, USA",-77.4360481,37.5407246
"NORFOLK, VA, USA",-76.2858726,36.8507689
"CHATTANOOGA, TN, USA",-85.3096801,35.0456297
"BALTIMORE, MD, USA",-76.6121893,39.2903848
"WHALEYVILLE, VA, USA",-76.6846768,36.5882075
"TALLAHASSEE, FL, USA",-84.2807329,30.4382559
"ENGLEWOOD, NJ, USA",-73.9726381,40.8928771
"MADISON, WI, USA",-89.4012302,43.0730517
"CHICKAMAUGA, GA, USA",-85.2907896,34.8711879
"TUSKEGEE, AL, USA",-85.7077266,32.430237
"BIRMINGHAM, AL, USA",-86.80249,33.5206608
"SUMTER, SC, USA",-80.3414693,33.9204354
"CONCORD, NC, USA",-80.579511,35.4087517
"HUNTSVILLE, AL, USA",-86.5861037,34.7303688
"AUSTIN, TX, USA",-97.7430608,30.267153
"NEW HAVEN, NY, USA",-76.3152105,43.4797914
"SARATOGA SPRINGS, NY, USA",-73.7845651,43.0831301
"TAMPA, FL, USA",-82.4571776,27.950575
"DENMARK, SC, USA",-81.1423236,33.3226546
"ORANGEBURG, SC, USA",-80.8556476,33.4918203
"NEW BRUNSWICK, NJ, USA",-74.4518188,40.4862157
"COLUMBIA, SC, USA",-81.0348144,34.0007104
"SOMERVILLE, TN, USA",-89.3500714,35.2436969
"HONEYBROOK, PA, USA",-75.9113306,40.0942664
"SAINT LOUIS, MO, USA",-90.1994042,38.6270025
"MIAMI, FL, USA",-80.1917902,25.7616798
"LANSING, MI, USA",-84.5555347,42.732535
"EAST LANSING, MI, USA",-84.4838654,42.7369792
"XENIA, OH, USA",-83.9296526,39.6847822
"PETERSBURG, VA, USA",-77.4019267,37.2279279
"HOUSTON, TX, USA",-95.3698028,29.7604267
"KNOXVILLE, TN, USA",-83.9207392,35.9606384
"NEW ORLEANS, LA, USA",-90.0715323,29.9510658
"SPRINGFIELD, MA, USA",-72.589811,42.1014831
"PRINCETON, NJ, USA",-74.6672226,40.3572976
"SAN ANTONIO, TX, USA",-98.4936282,29.4241219
"SOMMERSVILLE, TN, USA",-89.3500714,35.2436969
"ROCKHILL, SC, USA",-81.0250784,34.9248667
"ALBANY, GA, USA",-84.155741,31.5785074
"SAVANNAH, GA, USA",-81.0998342,32.0835407
"GREENVILLE, AL, USA",-86.6177517,31.8295972
"BENNINGTON, VT, USA",-73.1967741,42.8781345
"POUGHKEEPSIE, NY, USA",-73.9209701,41.7003713
"NORTHAMPTON, MA, USA",-72.6412013,42.3250896
"LAS VEGAS, NV, USA",-115.1398296,36.1699412
"SAINT AUGUSTINE, FL, USA",-81.3124341,29.9012437
"SUFFOLK, VA, USA",-76.5835621,36.7282054
"BLUEFIELD, WV, USA",-81.2223195,37.2698395
"ATLANTIC CITY, NJ, USA",-74.4229266,39.3642834
"MEMPHIS, TN, USA",-90.0489801,35.1495343
"NORTON, MA, USA",-71.1869963,41.9667703
"SARASOTA, NY, USA",-82.5306527,27.3364347
"LOS ANGELES, CA, USA",-118.2436849,34.0522342
"ALBUQUERQUE, NM, USA",-106.6055534,35.0853336
"GADSDEN, AL, USA",-86.0066386,34.014264
"MARSHALL, TX, USA",-94.3674184,32.5448714
"CHARLESTON, WV, USA",-81.6326234,38.3498195
", SC, USA",-81.1637245,33.836081
"CHARLESTON, SC, USA",-79.9310512,32.7764749
"CLEARWATER, FL, USA",-82.8001026,27.9658533
"JACKSONVILLE, FL, USA",-81.655651,30.3321838
"ANNISTON, AL, USA",-85.8316318,33.6598257
"BATON ROUGE, LA, USA",-91.1403196,30.4582829
"LEWISBURG, PA, USA",-76.8844101,40.9645293
"CLEVELAND, OH, USA",-81.6943605,41.49932
"COLUMBUS, GA, USA",-84.9877094,32.4609764
"UTICA, NY, USA",-75.232664,43.100903
"OKLAHOMA CITY, OK, USA",-97.5164276,35.4675602
"HARLEM, NY, USA",-73.9464769,40.8115504
"GREENWICH, NY, USA",-73.4887288,43.1374547
"MANHATTAN, NY, USA",-73.9712488,40.7830603
